"","age","gender","degree","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","level_of_satisfaction_with_decision_to_pursue_a_PhD","level_of_satisfaction_since_starting_grad_school","how_does_your_program_compare_to_your_expectations","supervisor_relationship","one_on_one_contact_w_supervisor","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"2","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","4","Improved slightly","Does not meet original expectations","5","Less than an hour","1","51-60 hours","1","5","Yes","No, I sought help elsewhere","1","1","1","1","No",NA,NA,"Yes",NA
"3","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of funding opportunities in my home country","No",NA,"5th","4","Improved slightly","Does not meet original expectations","7","Less than an hour","6","61-70 hours","3","4","Yes","No, I sought help elsewhere","1","3","1","3","No",NA,NA,"Yes","Racial discrimination or harassment"
"4","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,NA,"5","Stayed the same","Meets original expectations","6","Less than an hour","4","61-70 hours","2","4","No",NA,"2","2","2","3","No",NA,NA,"No",NA
"5","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"1st","4","Improved greatly","Meets original expectations","6","More than three hours","4","71-80 hours","4","4","Prefer not to say",NA,"4","3","5","5","No",NA,NA,"No",NA
"6","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","2","Significantly worsened","Does not meet original expectations","5","Less than an hour","3","51-60 hours","1","3","Yes","Yes, but I didn’t feel supported","1","1","1","1","No",NA,NA,"No",NA
"7","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","2","Significantly worsened","Does not meet original expectations","4","Less than an hour","3","71-80 hours","2","4","No",NA,"1","1","2","3","No",NA,NA,"No",NA
"8","18 - 24","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","Yes","Asia (including Middle East)",NA,"No",NA,"13th","4","Worsened a little","Does not meet original expectations","6","Less than an hour","5","61-70 hours","2","5","Yes","I didn’t seek help","4","4","5","5","No",NA,NA,"No",NA
"9","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Europe",NA,"No",NA,"1st","4","Stayed the same","Meets original expectations","6","Between one and three hours","5","51-60 hours","5","1","No",NA,"4","3","4","4","No",NA,NA,"No",NA
"10","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,NA,"3","Worsened a little","Meets original expectations","4","Less than an hour","2","21-30 hours","3","5","Yes","I didn’t seek help","1","3","1","1","No",NA,NA,"No",NA
"11","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","5","Improved greatly","Exceeds original expectations","7","More than three hours","6","51-60 hours","3","5","No",NA,"1","3","1","1","No",NA,NA,"No",NA
